Time [s], Reference [V], Output [V], Non-Inverting Input [V], Inverting Input [V], Capacitor Charge [C]
0.000000e+00, 2.500000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
1.000000e-03, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.500000e+00, -2.196259e-09
2.000000e-03, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.497804e+00, -4.390589e-09
3.000000e-03, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.495609e+00, -6.582991e-09
4.000000e-03, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.493417e+00, -8.773467e-09
5.000000e-03, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.491227e+00, -1.096202e-08
6.000000e-03, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.489038e+00, -1.314865e-08
7.000000e-03, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.486851e+00, -1.533336e-08
8.000000e-03, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.484667e+00, -1.751615e-08
9.000000e-03, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.482484e+00, -1.969702e-08
1.000000e-02, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.480303e+00, -2.187597e-08
1.100000e-02, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.478124e+00, -2.405301e-08
1.200000e-02, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.475947e+00, -2.622814e-08
1.300000e-02, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.473772e+00, -2.840136e-08
1.400000e-02, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.471599e+00, -3.057267e-08
1.500000e-02, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.469427e+00, -3.274207e-08
1.600000e-02, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.467258e+00, -3.490956e-08
1.700000e-02, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.465090e+00, -3.707516e-08
1.800000e-02, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.462925e+00, -3.923884e-08
1.900000e-02, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.460761e+00, -4.140063e-08
2.000000e-02, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.458599e+00, -4.356052e-08
2.100000e-02, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.456439e+00, -4.571851e-08
2.200000e-02, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.454281e+00, -4.787461e-08
2.300000e-02, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.452125e+00, -5.002881e-08
2.400000e-02, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.449971e+00, -5.218112e-08
2.500000e-02, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.447819e+00, -5.433154e-08
2.600000e-02, 2.500000e+00, 0.000000e+00, 1.250000e+00, 2.445668e+00, -5.648006e-08
